season,week,method,eliminated,is_consistent,n_contestants
27,3,percentage,Nancy McKeon,True,11
27,4,percentage,Tinashe,True,10
27,6,percentage,Mary Lou Retton,True,9
27,7,percentage,DeMarcus Ware,True,8
27,8,percentage,Joe Amabile,True,6
27,9,percentage,Alexis Ren,True,4
28,2,rank,Mary Wilson,False,12
28,4,rank,Lamar Odom,True,10
28,6,rank,Sailor Brinkley-Cook,False,9
28,7,rank,Karamo Brown,False,8
28,8,rank,Kate Flannery,False,7
28,9,rank,Sean Spicer,True,6
28,10,rank,James Van Der Beek,True,5
28,11,rank,Lauren Alaina,True,4
29,2,rank,Charles Oakley,True,15
29,3,rank,Carole Baskin,True,14
29,4,rank,Anne Heche,True,13
29,5,rank,Jesse Metcalfe,True,12
29,6,rank,Veron Davis,False,11
29,7,rank,Jeannie Mai,False,10
29,8,rank,Chrishell Stause,False,8
29,9,rank,AJ McLean,False,7
29,10,rank,Johnny Weir,False,6
29,11,rank,Justina Machado,False,4
30,2,rank,Martin Kove,True,15
30,3,rank,Christine Chiu,False,14
30,4,rank,Brian Austin Green,True,13
30,5,rank,Melanie C,False,11
30,6,rank,Kenya Moore,True,10
30,7,rank,"Mike ""The Miz"" Mizanin",True,9
30,8,rank,Jimmie Allen,True,8
30,9,rank,Melora Hardin,False,6
30,10,rank,Amanda Kloots,False,4
31,1,rank,Jason Lewis,False,16
31,2,rank,Teresa Giudice,False,15
31,3,rank,Cheryl Ladd,False,14
31,4,rank,Sam Champion,True,13
31,5,rank,Joseph Baena,False,12
31,6,rank,Jessie James Decker,False,10
31,7,rank,Jordin Sparks,False,9
31,8,rank,Heidi D'Amelio,False,8
31,9,rank,Daniel Durant,False,6
31,10,rank,Shangela,True,4
32,1,rank,Matt Walsh,True,14
32,2,rank,Jamie Lynn Spears,False,13
32,3,rank,Tyson Beckford,True,12
32,4,rank,Adrian Peterson,False,11
32,5,rank,Mira Sorvino,False,10
32,6,rank,Mauricio Umansky,False,9
32,7,rank,Lele Pons,False,8
32,8,rank,Barry Williams,False,7
32,9,rank,Harry Jowsey,True,6
32,11,rank,Alyson Hannigan,True,5
33,2,rank,Anna Delvey,False,13
33,3,rank,Eric Roberts,False,11
33,4,rank,Brooks Nader,False,9
33,5,rank,Phaedra Parks,True,8
33,6,rank,Jenn Tran,False,7
33,7,rank,Dwight Howard ,True,6
33,9,rank,Danny Amendola,True,5
34,2,rank,Baron Davis,False,14
34,3,rank,Lauren Jauregui,True,12
34,4,rank,Hilaria Baldwin,False,11
34,6,rank,Scott Hoying,False,10
34,7,rank,Jen Affleck,False,9
34,8,rank,Danielle Fishel,False,8
34,9,rank,Andy Richter,True,7
34,10,rank,Whitney Leavitt,False,6
34,11,rank,Dylan Efron,False,5
